108,Huangpu,South Xizang Road,31.201967,121.489555
109,Huangpu,Luban Road,31.199221,121.475148
110,Xuhui,Damuqiao Road,31.194439,121.463403
111,Xuhui,Dong'an Road,31.190819,121.454897
112,Xuhui,Shanghai Stadium,31.185605,121.443529
113,Xuhui,Shanghai Indoor Stadium,31.182813,121.437423
114,Minhang,Xinzhuang,31.111193,121.385379
115,Minhang,Chunshen Road,31.1,121.381
116,Minhang,Yindu Road,31.0911,121.385
117,Minhang,Zhuanqiao,31.0686,121.397
118,Minhang,Beiqiao,31.0469,121.405
119,Minhang,Jianchuan Road,31.0281,121.412
120,Minhang,Dongchuan Road,31.02015,121.415206
121,Minhang,Jiangchuan Road,31.007285,121.418883
122,Fengxian,Xidu,30.99105,121.427932
123,Fengxian,Xiaotang,30.967986,121.437297
124,Fengxian,Fengpu Avenue,30.944055,121.444405
125,Fengxian,Huanchengdong Road,30.933035,121.458852
126,Fengxian,Wangyuan Road,30.93419,121.478341
127,Fengxian,Jinhai Lake,30.931641,121.487621
128,Fengxian,Fengxian Xincheng,30.919027,121.490876
129,Minhang,Jinping Road,31.0131,121.405
130,Minhang,Huaning Road,31.0092,121.39
131,Minhang,Wenjing Road,31.0053,121.376
132,Minhang,Minhang Development Zone,31.0025,121.365
133,Pudong,Gangcheng Road,31.355,121.57
134,Pudong,North Waigaoqiao Free Trade Zone,31.3497,121.583
135,Pudong,Hangjin Road,31.3372,121.59
136,Pudong,South Waigaoqiao Free Trade Zone,31.3236,121.598
137,Pudong,Zhouhai Road,31.3144,121.585
138,Pudong,Wuzhou Avenue,31.3047,121.585
139,Pudong,Dongjing Road,31.2928,121.584
140,Pudong,Jufeng Road,31.2828,121.584
141,Pudong,Wulian Road,31.2739,121.583
142,Pudong,Boxing Road,31.2656,121.582
143,Pudong,Jinqiao Road,31.2592,121.577
144,Pudong,Yunshan Road,31.2525,121.568
145,Pudong,Deping Road,31.2475,121.559
146,Pudong,Beiyangjing Road,31.241111,121.5475
147,Pudong,Minsheng Road,31.23806,121.53861
148,Pudong,Yuanshen Stadium,31.235,121.52972
149,Pudong,Century Avenue,31.228682,121.527213
150,Pudong,Pudian Road,31.2244,121.528
151,Pudong,Lancun Road,31.211672,121.527627
152,Pudong,Shanghai Children's Medical Center,31.2047,121.519
153,Pudong,Linyi Xincun,31.19472,121.51167
154,Pudong,West Gaoke Road,31.1872,121.505
155,Pudong,Dongming Road,31.175,121.50611
156,Pudong,Gaoqing Road,31.15861,121.5125
157,Pudong,West Huaxia Road,31.15278,121.51333
158,Pudong,Shangnan Road,31.15083,121.50194
159,Pudong,South Lingyan Road,31.1508,121.49
160,Pudong,Oriental Sports Center,31.1553389,121.4757889
161,Baoshan,Meilan Lake,31.4036,121.345
162,Baoshan,Luonan Xincun,31.3906,121.353
163,Baoshan,Panguang Road,31.3653,121.351
164,Baoshan,Liuhang,31.35889,121.35778
165,Baoshan,Gucun Park,31.346389,121.368056
166,Baoshan,Qihua Road,31.32417,121.36861
167,Baoshan,Shanghai University,31.3219,121.382
168,Baoshan,Nanchen Road,31.32333,121.39306
169,Baoshan,Shangda Road,31.3153,121.404
170,Baoshan,Changzhong Road,31.305,121.40833
171,Baoshan,Dachang Town,31.295,121.41139
172,Baoshan,Xingzhi Road,31.28611,121.41667
173,Baoshan,Dahuasan Road,31.2764,121.418
174,Putuo,Xincun Road,31.26583,121.4175
175,Putuo,Langao Road,31.25833,121.41694
176,Putuo,Zhenping Road,31.24645,121.429721
177,Putuo,Changshou Road,31.24194,121.43333
178,Jing'an,Changping Road,31.23639,121.43722
179,Jing'an,Jing'an Temple,31.223083,121.446221
180,Xuhui,Changshu Road,31.213524,121.449141
181,Xuhui,Zhaojiabang Road,31.2014,121.445
182,Xuhui,Dong'an Road,31.190819,121.454897
183,Xuhui,Middle Longhua Road,31.185,121.453
184,Pudong,Houtan,31.1742,121.469
185,Pudong,Changqing Road,31.1772,121.483
186,Pudong,Yaohua Road,31.1803,121.489
187,Pudong,Yuntai Road,31.1838,121.495
188,Pudong,West Gaoke Road,31.1872,121.505
189,Pudong,South Yanggao Road,31.19,121.51861
190,Pudong,Jinxiu Road,31.1897,121.5347
191,Pudong,Fanghua Road,31.19556,121.54583
192,Pudong,Longyang Road,31.203147,121.556862
193,Pudong,Huamu Road,31.21222,121.55861
194,Yangpu,Shiguang Road,31.323611,121.5275
195,Yangpu,Nenjiang Road,31.3161,121.527
196,Yangpu,Xiangyin Road,31.3075,121.527
197,Yangpu,Huangxing Park,31.2975,121.529
198,Yangpu,Middle Yanji Road,31.2897,121.531
199,Yangpu,Huangxing Road,31.2811,121.524
